OBJECTID,TYPE,MATERIAL,WIDTH,LIMITS,TYPE2,NAME,ENTITY_TRA,TYPE_3,PAVED,MILEAGE,Shape__Length
281,Designated,Gravel,8, ,Dirt Trail,Manayunk Canal Towpath/Lock St to Shawmont,PPR,Trail,N,0.2040418,429.007852838427
282,Designated,Gravel,8, ,Dirt Trail,Manayunk Canal Towpath/Lock St to Shawmont,PPR,Trail,N,0.14142174,297.517002024978
283,Designated,Gravel,8, ,Dirt Trail,Manayunk Canal Towpath/Lock St to Shawmont,PPR,Trail,N,0.0652791,137.341418149229
284,Designated,Gravel,8, ,Dirt Trail,Manayunk Canal Towpath/Lock St to Shawmont,PPR,Trail,N,0.17080569,359.324500845913
285,Designated,Gravel,8, ,Gravel Trail,Pennypack Park Trail,PPR,Trail,Y,0.27380365,575.781624334949
286,Designated,Gravel,10, ,Dirt Trail,Cobb's Creek Trail,PPR,Trail,Y,0.39586213,832.626244722955
287,Designated,Gravel,10,Not Bikeable,Gravel Trail,Boxer's Trail,PPR,Trail,N,0.38889362,817.438469493995
288,Designated,Gravel,10,Not Bikeable,Gravel Trail,Boxer's Trail,PPR,Trail,N,0.02577211,54.1646540475751
289,Designated,Gravel,10,Not Bikeable,Gravel Trail,Boxer's Trail,PPR,Trail,N,0.11558954,242.916588892831
290,Designated,Gravel,10,Not Bikeable,Gravel Trail,Boxer's Trail,PPR,Trail,N,0.02689191,56.5696116961159
291,Designated,Gravel,10,Not Bikeable,Gravel Trail,Boxer's Trail,PPR,Trail,N,0.41338528,868.6678405024
292,Designated,Gravel,10,Not Bikeable,Gravel Trail,Boxer's Trail,PPR,Trail,N,0.09480451,199.1145850953
293,Designated,Gravel,10,Not Bikeable,Gravel Trail,Boxer's Trail,PPR,Trail,N,0.13339555,279.912843588406
294,Designated,Gravel,20, ,Bridge,Forbidden Drive,PPR,Trail,N,0.02871416,60.2719099286625
295,Designated,Gravel,20, ,Gravel Trail,Forbidden Drive,PPR,Trail,N,0.25816533,542.130144668456
296,,,,,,Poquessing Creek Trail,,,,1.50717013,3175.14488653086
297,Designated,Asphalt,,,Asphalt Trail,South to Christian Connector,PPR,Trail,Y,0.2707773,568.796500152995
298,Designated,Asphalt,,,Asphalt Trail,Kensington & Tacony Trail 1,PPR,Trail,Y,1.12153507,2357.54169783645
299,Designated,Asphalt,,,Asphalt Trail,Bartram's Mile,PPR,Trail,Y,0.88264212,1855.31526500167
300,Designated,,,,Bridge,CHOP Connector Bridge,CHOP,Trail Connection,Y,0.01890621,39.7255953207312
301,Designated,Concrete,,,Sidewalk,Race Street North Sidepath,DRWC,Trail Connection,Y,0.15475214,324.514188290354
302,Sidepath,Asphalt,10,,,Frankford Creek Greenway 1,,,Y,1.22653706,2579.47612004033
303,Trail,Asphalt,10,,,Tacony Creek Trail B,PPR,Trail,Y,0.26526598,558.380826870068
304,Trail,Gravel,8,,Dirt Trail,Schuylkill Center SRT Connector,PPR,Trail,N,0.46999842,988.910361478035
305,Designated,Asphalt,12,,Asphalt Trail,"Frankford Creek Greenway, Phase 2",PennDOT,Sidepath,Y,0.99664893,2095.3375203738
306,Designated,Asphalt,12,,Asphalt Trail,"Cobbs Creek Connector, Seg A",PPR,Trail,Y,0.49948668,1050.54613149361
307,Designated,Asphalt,12,,Pavers,SugarHouse to Penn Treaty,DRWC,,Y,0.31653645,664.915295704
308,Designated,Asphalt,12,,Asphalt Sidepath,Delaware Waterfront Trail,DWRC,Trail,Y,1.90713734,4012.97868265177
309,Designated,Asphalt,12,,Asphalt Trail,GR3- Maintenance Path,Streets,Trail,Y,0.76267817,1601.83365774871
310,Designated,Asphalt,12,,Asphalt Sidepath,Penrose Sidepath 2,Wawa,Trail,Y,0.24137678,506.184194840432
311,Designated,Asphalt,12,,Asphalt Trail,"Cobbs Creek Connector, Seg D",PPR,Trail,Y,0.34049155,714.823148708831
312,Designated,Wood,10, ,Bridge,Tacony Creek Trail,PPR,Trail,Y,0.01128126,23.7470894511273
313,Designated,Wood,10, ,Bridge,Wissahickon Bike Path,PPR,Trail,N,0.02638012,55.3885372246808
314,Designated,Wood,10, ,Bridge,Wissahickon Bike Path,PPR,Trail,N,0.06157008,129.575712665316
315,Not Designated,Asphalt,0, ,Asphalt Sidepath,Chamounix Drive Sidepath,PPR,Sidepath,Y,0.76505297,1606.51119846852
316,Not Designated,Asphalt,0, ,Asphalt Sidepath,Ford Road Sidepath,PPR,Sidepath,Y,0.24620207,516.920287709819
317,Not Designated,Asphalt,0, ,Asphalt Sidepath,Greenland Road Sidepath,PPR,Sidepath,Y,0.16645168,349.383034221664
318,Not Designated,Asphalt,0, ,Asphalt Sidepath,Lansdowne Sidepath,PPR,Sidepath,Y,0.31061101,651.650775099204
319,Not Designated,Asphalt,0, ,Asphalt Sidepath,West Bank Greenway,Streets,Sidepath,Y,0.58806289,1236.18842098161
320,Not Designated,Asphalt,8, ,Asphalt Sidepath,Pennypack Park Trail,PPR,Sidepath,Y,0.44156448,929.1320496513
321,Not Designated,Asphalt,8, ,Road Crossing,Falls Bridge Sidepath,PPR,Sidepath,Y,0.00621496,13.0498899175395
322,Not Designated,Asphalt,10, ,Asphalt Sidepath,Sidepath,PPR,Sidepath,Y,0.10435601,219.696573756018
323,Not Designated,Asphalt,10, ,Asphalt Sidepath,Sidepath,PPR,Sidepath,Y,0.11710873,246.553578817737
