log2FoldChange,pvalue,gene_id,symbol
0.138766836,0.254746428,ENSG00000013563,DNASE1L1
0.04202352,0.767572592,ENSG00000013573,DDX11
-0.113354606,0.553230287,ENSG00000013583,HEBP1
-0.401456284,0.027029284,ENSG00000013588,GPRC5A
0.23998678,0.173973025,ENSG00000013619,MAMLD1
-0.446195765,8.95E-05,ENSG00000013810,TACC3
-0.190128545,0.259248408,ENSG00000014123,UFL1
-0.054657399,0.66134515,ENSG00000014138,POLA2
0.029864512,0.831453952,ENSG00000014164,ZC3H3
0.124539118,0.235431136,ENSG00000014216,CAPN1
-0.039943714,0.929847964,ENSG00000014257,ACPP
-0.228625255,0.103828762,ENSG00000014641,MDH1
-0.021987164,0.854995549,ENSG00000014824,SLC30A9
0.031563831,0.88616153,ENSG00000014914,MTMR11
-0.104047945,0.499121336,ENSG00000014919,COX15
0.080759741,0.882893868,ENSG00000015133,CCDC88C
0.35971438,0.025071036,ENSG00000015153,YAF2
0.124410349,0.311819353,ENSG00000015171,ZMYND11
-0.192599678,0.201630113,ENSG00000015475,BID
-0.821187626,0.036888666,ENSG00000015479,MATR3
-0.387951355,0.003011049,ENSG00000015532,XYLT2
-0.630544358,0.000116737,ENSG00000015568,RGPD5
-0.016154706,0.888173716,ENSG00000015676,NUDCD3
-0.158765597,0.256271459,ENSG00000016864,GLT8D1
-0.252780998,0.019643938,ENSG00000017260,ATP2C1
-0.113075983,0.37654979,ENSG00000017797,RALBP1
-0.240076477,0.134093401,ENSG00000018189,RUFY3
0.724455876,0.181030036,ENSG00000018280,SLC11A1
-0.237171437,0.060796737,ENSG00000018408,WWTR1
-0.36639828,0.008141706,ENSG00000018510,AGPS
0.193743167,0.29233735,ENSG00000018610,CXorf56
0.321107166,0.060977906,ENSG00000018699,TTC27
0.433190536,0.280525135,ENSG00000018869,ZNF582
-0.258753727,0.01617444,ENSG00000019144,PHLDB1
1.515023302,0.010869612,ENSG00000019186,CYP24A1
-0.04866245,0.821664419,ENSG00000019485,PRDM11
0.632413873,7.46E-07,ENSG00000019549,SNAI2
-0.613888748,0.291221259,ENSG00000019991,HGF
0.247334214,0.205326942,ENSG00000019995,ZRANB1
-0.035802057,0.76717864,ENSG00000020129,NCDN
-0.070928611,0.535316014,ENSG00000020181,ADGRA2
-0.112317016,0.590681285,ENSG00000020256,ZFP64
0.324730903,0.039037314,ENSG00000020426,MNAT1
0.079284555,0.472307581,ENSG00000020577,SAMD4A
0.106594974,0.799432963,ENSG00000020633,RUNX3
-0.464748959,0.004394874,ENSG00000020922,MRE11
0.255927746,0.163875798,ENSG00000021355,SERPINB1
-0.30102837,0.086952845,ENSG00000021574,SPAST
-0.207649295,0.117911663,ENSG00000021645,NRXN3
-0.10508735,0.395595996,ENSG00000021762,OSBPL5
-0.202167043,0.107788204,ENSG00000021776,AQR
-0.5362456,0.003499913,ENSG00000021826,CPS1
0.127808724,0.290799746,ENSG00000022267,FHL1
0.107199462,0.388967416,ENSG00000022277,RTF2
0.098654238,0.5691393,ENSG00000022567,SLC45A4
0.119216405,0.276903004,ENSG00000022840,RNF10
0.358918686,0.184479337,ENSG00000022976,ZNF839
0.33021059,0.041869133,ENSG00000023041,ZDHHC6
-0.341882446,0.007709413,ENSG00000023171,GRAMD1B
-0.036738933,0.784351661,ENSG00000023191,RNH1
-0.062610066,0.57335227,ENSG00000023228,NDUFS1
-0.447303339,0.027707783,ENSG00000023287,RB1CC1
0.373194988,0.00172973,ENSG00000023318,ERP44
0.102993413,0.465602994,ENSG00000023330,ALAS1
0.265603798,0.3735369,ENSG00000023445,BIRC3
-0.744669303,2.68E-05,ENSG00000023516,AKAP11
0.757051936,0.000569357,ENSG00000023572,GLRX2
0.474156802,0.005982729,ENSG00000023608,SNAPC1
-0.245909748,0.184223276,ENSG00000023697,DERA
0.260712887,0.02209154,ENSG00000023734,STRAP
-0.491002818,0.280580833,ENSG00000023839,ABCC2
0.330229538,0.462328145,ENSG00000023892,DEF6
0.042418538,0.754872582,ENSG00000023902,PLEKHO1
